address,latitude,longitude
21-028 31 AVENUE,40.76674665,-73.92878801
136 91 STREET,40.62094959,-74.03672363
98-005 70 AVENUE,40.71626393,-73.84999232
2029 RYER AVENUE,40.85128078,-73.90139591
481 EAST 182 STREET,40.85377667,-73.89395396
48-053 44 STREET,40.73796707,-73.92156711
214 EAST 180 STREET,40.85319384,-73.9019965
85-018 104 STREET,40.69814312,-73.84448369
317 VANDERVOORT AVENUE,40.71623627,-73.93414497
61 DELAWARE AVENUE,40.59297858,-74.0973574
763 UNITED NATIONS PLAZA,40.74965085,-73.969363
8143 BAY 16 STREET,40.61011663,-74.00206829
2065 SHORE PARKWAY,40.58577161,-73.98949294
246-009 THORNHILL AVENUE,40.76028436,-73.73680666
215 ST NICHOLAS AVENUE,40.70338492,-73.91453159
685 BARCLAY AVENUE,40.52598495,-74.16657325
23-035 31 DRIVE,40.76482044,-73.92855715
23-050 28 STREET,40.7745028,-73.915898
23-060 28 STREET,40.77430502,-73.91613995
121-007 85 AVENUE,40.7034507,-73.82968616
157-055 12 ROAD,40.79052991,-73.80252706
954 NUGENT AVENUE,40.57124063,-74.09775476
293 BARBARA STREET,40.56965532,-74.13847145
108 KENSICO STREET,40.5697762,-74.13838471
25-046 99 STREET,40.76337838,-73.87068219
311 WEST 50 STREET,40.76255638,-73.98689857
30 BOWERY,40.71523135,-73.99651124
1637 OCEAN PARKWAY,40.60840958,-73.96714882
117-028 203 STREET,40.69449318,-73.74883164
124-013 85 AVENUE,40.70409758,-73.82713132
253 BERKELEY PLACE,40.67402778,-73.97216095
14 HAMPTON PLACE,40.67243622,-73.94086032
52 ROMAN AVENUE,40.61514674,-74.16245854
215 WEST END AVENUE,40.57641663,-73.95269886
87-035 77 STREET,40.69000463,-73.86429218
103 FEATHERBED LANE,40.84613438,-73.91842711
157-059 12 ROAD,40.79049572,-73.80209422
69-061 180 STREET,40.73168131,-73.79028729
670 OAKLAND PLACE,40.84760648,-73.89004313
666 OAKLAND PLACE,40.84764158,-73.89011396
2454 BENSON AVENUE,40.59654398,-73.98964228
110-028 JEWEL AVENUE,40.72456919,-73.84148754
110-040 JEWEL AVENUE,40.72463742,-73.84125803
108 KENSICO STREET,40.56971167,-74.13843102
1213 BAY STREET,40.61370894,-74.06575703
198 FORSYTH STREET,40.72237077,-73.99071308
24-001 29 STREET,40.77281596,-73.91650272
36-015 218 STREET,40.76878371,-73.76599156
157-031 89 STREET,40.66107407,-73.84417025
1082 PACIFIC STREET,40.67860769,-73.95677135
56-001 137 STREET,40.74837922,-73.82747712
23-026 28 STREET,40.77501371,-73.91527297
65-69 MAURICE AVENUE,40.73517467,-73.89918319
83 BISHOP STREET,40.57240049,-74.12454235
105 FEATHERBED LANE,40.84612225,-73.918512
30 BOWERY,40.71534244,-73.99644451
487 OLD MILL ROAD,40.55736056,-74.11417484
19-006 DITMARS BOULEVARD,40.78109462,-73.91786111
225-017 144 AVENUE,40.66441972,-73.75226062
388 AVENUE X,40.59061969,-73.96886652
86-002 PARK LANE SOUTH,40.69656493,-73.85895152
98-005 70 AVENUE,40.71630623,-73.84996559
22-036 31 STREET,40.7753654,-73.91177272
1753 70 STREET,40.61690809,-73.99405752
32-020 42 STREET,40.75771062,-73.91788896
1472 54 STREET,40.62977948,-73.9910977
63 JUSTIN AVENUE,40.55663981,-74.13570715
19-034 76 STREET,40.77161195,-73.89403429
34-031 84 STREET,40.75298488,-73.88294442
114 RYERSON STREET,40.69441045,-73.96522664
4 FT GREENE PLACE,40.68955443,-73.97712106
1852 GERRITSEN AVENUE,40.60723833,-73.94132914
378 SENECA AVENUE,40.70702844,-73.91517904
4015 16 AVENUE,40.63557124,-73.98067583
17-035 BROOKHAVEN AVENUE,40.59917881,-73.75201451
40 ALBERTA AVENUE,40.58997953,-74.19108593
1223 46 STREET,40.63765636,-73.99185579
114 ARLINGTON AVENUE,40.67989899,-73.89065784
69-086 182 STREET,40.73137369,-73.78839606
157-012 89 STREET,40.66153115,-73.84440912
216-012 43 AVENUE,40.76213442,-73.76545976
132-029 57 ROAD,40.74666606,-73.83206621
56-001 137 STREET,40.74838498,-73.82754709
451 FLINT STREET,40.56195811,-74.12217895
23-013 21 STREET,40.77828205,-73.91934183
12-019 157 STREET,40.79067802,-73.80440245
1643 43 STREET,40.63377626,-73.98090259
1102 AVENUE L,40.61993232,-73.96404014
22 BANK STREET,40.73697238,-74.00243877
19-026 76 STREET,40.77187839,-73.89408285
23-003 28 STREET,40.77531088,-73.91474286
40 BOWERY,40.71537863,-73.99642276
93 4 PLACE,40.67797919,-73.99834252
13-046 127 STREET,40.78528786,-73.84131238
56-002 138 STREET,40.74836547,-73.82730992
20-035 21 STREET,40.7831773,-73.91333566
157-017 12 ROAD,40.79064239,-73.80395129
143 STERLING PLACE,40.67699425,-73.97333807
81 RAMONA AVENUE,40.54115705,-74.18845273
1305 DORCHESTER ROAD,40.63854974,-73.96567482
30 BOWERY,40.71528042,-73.99644408
157-012 89 STREET,40.66144268,-73.84438725
56 DELWIT AVENUE,40.55314738,-74.11866805
21-016 31 AVENUE,40.76697092,-73.92926775
23-015 21 STREET,40.77824891,-73.9193819
146-004 224 STREET,40.66034469,-73.75673385
48-020 44 STREET,40.73881391,-73.92152608
30-092 23 STREET,40.76685931,-73.92850263
22-039 28 STREET,40.77642828,-73.91337391
44 BOWERY,40.71545583,-73.99637404
145 CUBA AVENUE,40.5643799,-74.10791272
26-006 150 STREET,40.77410352,-73.81527226
1761 MANSION STREET,40.83803921,-73.86892325
56-002 138 STREET,40.74835343,-73.82716352
23-004 28 STREET,40.77542794,-73.9147662
23-018 28 STREET,40.77514234,-73.91511561
23-044 28 STREET,40.77464229,-73.91572736
19-021 24 AVENUE,40.77708306,-73.92207401
42 BOWERY,40.71541109,-73.99640327
67 EAST BROADWAY,40.56901473,-74.12871793
93-010 70 AVENUE,40.71310473,-73.85184575
15 BELVEDERE STREET,40.69857634,-73.93708131
250 UNION AVENUE,40.70777752,-73.9504909
2451 BATH AVENUE,40.59468213,-73.99138137
42 DELWIT AVENUE,40.55322498,-74.1181842
2601 ALBEMARLE ROAD,40.64814962,-73.95271753
35-016 30 STREET,40.75806507,-73.92972074
643 TRAVIS AVENUE,40.59240641,-74.16068164
817 CRANFORD AVENUE,40.90324627,-73.84724331
213 ST NICHOLAS AVENUE,40.70343189,-73.91461106
23-035 31 DRIVE,40.76476362,-73.92845527
1423 55 STREET,40.62997881,-73.99273125
83 WEST CEDARVIEW AVENUE,40.56765661,-74.13781666
25-011 DITMARS BOULEVARD,40.77856009,-73.9140327
123 STAFFORD AVENUE,40.54928885,-74.18486075
501 EAST 182 STREET,40.85352514,-73.89370803
9021 RIDGE BOULEVARD,40.62082199,-74.0351669
388 AVENUE X,40.59064988,-73.96858921
111-011 77 AVENUE,40.71512079,-73.83497359
23-052 28 STREET,40.77444391,-73.91597004
164-051 96 STREET,40.64977014,-73.834552
169-012 33 AVENUE,40.76734055,-73.79584823
681 EAST 187 STREET,40.85434872,-73.88535676
35 GIRARD STREET,40.5803943,-73.94581311
87-019 163 AVENUE,40.65231928,-73.84307681
145 CUBA AVENUE,40.56440881,-74.1078853
69 LOCUST AVENUE,40.57672316,-74.11561393
65 LOCUST AVENUE,40.5768067,-74.11576924
67 EAST BROADWAY,40.56897028,-74.12864198
24-001 29 STREET,40.77273542,-73.9166014
237 KISWICK STREET,40.57336815,-74.09729792
81-003 169 STREET,40.72165866,-73.79859545
80-019 166 STREET,40.72176284,-73.80160149
112-020 72 DRIVE,40.72047519,-73.8372212
225-010 145 AVENUE,40.66277784,-73.75354629
18-035 119 STREET,40.78226362,-73.84858134
82-008 BREVOORT STREET,40.70609804,-73.82944718
406 WESTMINSTER ROAD,40.63894199,-73.96689625
72-026 LOUBET STREET,40.71148266,-73.84648942
185 ST NICHOLAS AVENUE,40.70401673,-73.91559986
1608 3 AVENUE,40.78163624,-73.95207411
1472 EAST 14 STREET,40.61364871,-73.96022151
28-002 150 STREET,40.77291534,-73.81576104
11 KISSAM AVENUE,40.55699822,-74.11379225
35-039 30 STREET,40.75744525,-73.93022473
19-036 76 STREET,40.77149776,-73.89401347
69-059 110 STREET,40.72396211,-73.84232685
31 GADSEN PLACE,40.59298888,-74.16029683
20 COLFAX AVENUE,40.58142703,-74.11076215
130 AVISTON STREET,40.55615451,-74.11794897
5703 AVENUE J,40.62865417,-73.92095222
4412 HILL AVENUE,40.90044415,-73.84270368
48 ALLEN STREET,40.7165803,-73.99175898
275 WILD AVENUE,40.5876594,-74.19224293
1614 3 AVENUE,40.78178933,-73.95196452
63 EAST BROADWAY,40.56892149,-74.1285586
198 FORSYTH STREET,40.72257271,-73.99060928
24-009 29 STREET,40.77268522,-73.91666293
45 GIRARD STREET,40.58033134,-73.94580062
167 DURANT AVENUE,40.55523048,-74.13310258
400 DELAWARE AVENUE,40.58786782,-74.08780228
262 11 STREET,40.66880273,-73.98914895
23-042 30 DRIVE,40.76696303,-73.92656215
178 SPRATT AVENUE,40.55570068,-74.1309712
157-028 12 AVENUE,40.79122044,-73.80340353
57-016 PARSONS BOULEVARD,40.74181171,-73.8102624
98-020 164 AVENUE,40.65147637,-73.83224124
45-006 104 STREET,40.74679573,-73.86018751
19-012 24 AVENUE,40.77717106,-73.92219858
240 UNION AVENUE,40.70771378,-73.95048051
34-041 84 STREET,40.75274937,-73.88290209
2884 CODDINGTON AVENUE,40.83932903,-73.83226106
89-018 69 ROAD,40.71183722,-73.85424401
44 BOWERY,40.71545778,-73.99633259
157-006 BOOTH MEMORIAL AVENUE,40.74234751,-73.81093688
643 TRAVIS AVENUE,40.59233973,-74.16072569
596 7 STREET,40.6660399,-73.97643695
536 5 STREET,40.66837542,-73.97776753
840 TYSENS LANE,40.55895717,-74.10826416
399 STOCKHOLM STREET,40.70542266,-73.91698029
23-080 28 STREET,40.77393581,-73.91659162
4465 HILL AVENUE,40.90179706,-73.84352558
14-001 116 STREET,40.78574545,-73.85116187
821 EAST 181 STREET,40.84696078,-73.88404677
2332 BELMONT AVENUE,40.85364333,-73.88657528
615 EAST 183 STREET,40.85296298,-73.88870088
435 EAST 79 STREET,40.77160256,-73.95073395
57-003 159 STREET,40.74204166,-73.8089701
1783 MERRILL STREET,40.83672988,-73.86869556
160 MARINE WAY,40.56205322,-74.10039228
208-018 RICHLAND AVENUE,40.73461592,-73.76269191
623 TRAVIS AVENUE,40.5920198,-74.16002038
1015 READS LANE,40.60443946,-73.74367544
33 BOWERY,40.71519529,-73.99649521
65 LOCUST AVENUE,40.57687664,-74.11589926
22 JUDGE STREET,40.71356585,-73.94042123
24-009 29 STREET,40.77265188,-73.91670378
132-004 CRONSTON AVENUE,40.57899004,-73.85278505
98 BURKE AVENUE,40.59284333,-74.187408
80-015 166 STREET,40.7219292,-73.80167332
1106 AVENUE L,40.6199566,-73.963822
165 WILLIAMS AVENUE,40.67241665,-73.89979923
49-006 21 AVENUE,40.77040929,-73.89791187
109 DICKIE AVENUE,40.62143491,-74.13658866
512 EAST 188 STREET,40.85785445,-73.8894467
992 WOODYCREST AVENUE,40.83236483,-73.92812558
19 DIVISION STREET,40.71420078,-73.99654777
11 DIVISION STREET,40.71412454,-73.99692202
2614 MILL AVENUE,40.60933903,-73.91186246
59 ALLEN STREET,40.71706885,-73.99151205
